id,product_id,customer_id,amount,sale_date,product_category,region
1,101,1,150.0,2024-01-15,Electronics,Norte
2,102,2,75.5,2024-01-16,Clothing,Sur
3,103,1,200.0,2024-01-17,Electronics,Norte
4,104,3,45.99,2024-01-18,Books,Centro
5,105,2,320.0,2024-01-19,Electronics,Sur
6,106,4,25.50,2024-01-20,Clothing,Norte
7,107,5,89.99,2024-01-21,Books,Centro
8,108,1,445.0,2024-01-22,Electronics,Norte
9,109,3,12.99,2024-01-23,Books,Sur
10,110,4,167.50,2024-01-24,Clothing,Centro
11,111,2,299.99,2024-01-25,Electronics,Sur
12,112,5,78.25,2024-01-26,Clothing,Norte